origin,citation
US-2017116339-A1,US-2016005091-A1
US-2017116339-A1,US-2016330580-A1
US-2018069933-A1,US-2016047662-A1
US-2017004290-A1,WO-2016096011-A1
US-2017075670-A1,US-9483783-B1
US-2017310645-A1,US-2016364787-A1
US-2018150903-A1,US-2016086029-A1
US-2018150903-A1,US-2016163000-A1
US-2018150903-A1,US-2016284014-A1
US-2017046369-A9,US-9360945-B2
US-2016028824-A1,US-2016152210-A1
US-2017351494-A1,US-2016012499-A1
US-2017337722-A1,US-9418360-B1
US-2017060724-A1,US-2016248795-A1
US-2018067536-A1,US-2016173568-A1
US-2018060551-A1,US-2016063588-A1
US-2018145836-A1,US-2016364787-A1
US-2016142473-A1,US-2016210602-A1
US-2016189087-A1,US-2016027095-A1
US-2016156705-A1,US-9294556-B2
US-2017116161-A1,US-2016042050-A1
US-2018121461-A1,US-2016148122-A1
US-2018101887-A1,US-2016019627-A1
US-2018101887-A1,US-2016253738-A1
US-2017308656-A1,US-2016189003-A1
US-2017277943-A1,US-2016335705-A1
US-2017290345-A1,US-2016350837-A1
US-10073914-B2,US-9245026-B1
US-10373190-B2,US-2016092966-A1
US-10373190-B2,US-2016110622-A1
US-10373190-B2,US-2016171486-A1
US-10373190-B2,US-2016217519-A1
US-10032126-B2,US-9330413-B2
US-10032126-B2,US-2016224955-A1
US-10032126-B2,US-2016247219-A1
US-10032126-B2,US-2016283925-A1
US-10032126-B2,US-2016371766-A1
US-10032126-B2,US-2016371606-A1
US-10212053-B2,US-2016028581-A1
US-10212053-B2,US-2016070772-A1
US-10212053-B2,US-9319269-B2
US-10212053-B2,US-9397884-B2
US-10212053-B2,US-9501541-B2
US-10235063-B2,US-9280788-B2
KR-101958773-B1,KR-20160084741-A
US-2016247154-A1,US-2016210602-A1
US-2017364869-A1,US-2016307247-A1
US-2018084038-A1,US-2016019636-A1
US-2017278302-A1,US-2016217609-A1
US-2016350884-A1,US-2016125414-A1
US-2018041628-A1,US-9317983-B2
US-2018041628-A1,US-2016250985-A1
US-2018041628-A1,US-9466161-B2
US-2018041628-A1,US-2016313730-A1
US-2018041628-A1,US-2016321848-A1
US-2018041628-A1,US-2016318467-A1
US-2018041628-A1,US-2016318524-A1
US-2017220994-A1,US-2016171409-A1
US-2018107902-A1,US-2016342600-A1
KR-20200004014-A,KR-20160027576-A
KR-101950908-B1,KR-101660267-B1
TW-I621965-B,US-2016155120-A1
US-10162360-B2,US-2016082839-A1
US-10089109-B2,US-9292262-B2
US-10147129-B1,US-9286391-B1
US-10169382-B2,US-9245289-B2
US-10380671-B2,US-9449322-B2
US-10346152-B2,US-2016086391-A1
US-10346007-B2,US-2016266858-A1
US-10268171-B2,US-2016004297-A1
US-10169801-B2,US-9406042-B2
US-10269156-B2,US-2016335705-A1
US-10272784-B2,US-2016171597-A1
US-10272784-B2,US-2016189288-A1
US-10272784-B2,US-2016189284-A1
US-10223479-B1,US-9282430-B1
US-10223479-B1,US-2016092962-A1
US-10223479-B1,US-9317983-B2
US-10223479-B1,US-9384491-B1
US-10154084-B2,US-9448972-B2
US-10154084-B2,US-9530137-B2
US-2017086105-A1,US-2016055565-A1
US-2018102128-A1,US-2016104098-A1
US-2017054569-A1,US-2016109954-A1
US-2017099295-A1,US-9229905-B1
US-2016066038-A1,US-2016014568-A1
US-10000941-B2,US-2016260161-A1
US-10217102-B2,US-9317849-B2
US-10217102-B2,US-2016110717-A1
US-10217102-B2,US-2016119332-A1
US-10217102-B2,US-2016117669-A1
US-10217102-B2,US-2016117668-A1
US-10217102-B2,US-2016117674-A1
US-10217102-B2,US-9330389-B2
US-10217102-B2,US-9330390-B2
US-10217102-B2,US-9330388-B2
US-10217102-B2,US-9400980-B2
US-10217102-B2,US-2016217258-A1
US-10217102-B2,US-9471914-B2
US-10203212-B2,WO-2016019189-A1
KR-20190002081-A,KR-20160021637-A
US-10013711-B2,US-2016081435-A1
US-10017249-B1,US-2016068264-A1
US-10057358-B2,US-2016343062-A1
US-10148016-B2,US-9443417-B2
US-10192230-B2,US-9433427-B2
US-10210396-B2,US-9365188-B1
US-10210396-B2,US-2016180428-A1
US-10250446-B2,US-2016026552-A1
US-10269110-B2,US-2016092849-A1
US-10269110-B2,US-2016098689-A1
US-10269110-B2,US-2016171575-A1
US-10269110-B2,US-2016210648-A1
US-10269110-B2,US-2016379287-A1
US-10303887-B2,US-2016267566-A1
KR-20190060049-A,KR-20160105007-A
KR-101841192-B1,KR-101645517-B1
US-10306686-B2,US-2016264011-A1
US-2017237729-A1,US-2016197915-A1
US-2017191848-A1,US-2016059865-A1
US-2018137559-A1,US-2016253843-A1
US-2018170744-A1,US-2016368753-A1
US-2016381621-A1,US-2016171486-A1
US-10140481-B2,US-9262757-B2
US-10140481-B2,US-9262777-B2
US-10140481-B2,US-9286635-B2
US-10140481-B2,US-9305314-B2
US-10140481-B2,HK-1211124-A1
US-10140481-B2,US-2016188915-A1
US-10140481-B2,US-2016203667-A1
US-10140481-B2,US-2016203466-A1
US-10140481-B2,US-9449203-B2
US-10204101-B2,US-9530161-B2
US-10341699-B2,US-9292866-B2
US-10361859-B2,US-9355420-B2
KR-102030592-B1,KR-20160029686-A
US-2017127732-A1,US-2016076884-A1
US-2016337421-A1,US-9411856-B1
US-2017177894-A1,US-9412124-B2
US-2018150906-A1,US-2016283517-A1
US-2017272200-A1,US-2016005004-A1
US-2016197870-A1,US-2016048900-A1
US-2018121683-A1,US-2016264011-A1
US-2018129904-A1,US-2016026926-A1
US-2018129904-A1,US-2016210602-A1
US-2016350264-A1,US-2016005097-A1
US-2017178257-A1,US-2016035001-A1
US-2016063589-A1,US-9514491-B2
US-2017048654-A1,US-2016086202-A1
US-2017236354-A1,US-9373201-B2
US-2017053363-A1,US-2016275595-A1
US-2018139486-A1,US-2016284016-A1
US-2017228035-A1,US-9290153-B2
US-2017278083-A1,US-2016092847-A1
US-2016078694-A1,US-9288270-B1
US-2018140053-A1,US-2016081435-A1
US-2018140053-A1,US-2016125499-A1
US-2018007081-A1,US-9391985-B2
US-2016342917-A1,US-9230231-B1
US-10267916-B2,US-2016086258-A1
US-10255279-B2,US-9424597-B2
US-10304251-B2,US-2016253746-A1
US-10003948-B2,US-2016171486-A1
US-10354188-B2,US-2016092557-A1
US-10368141-B2,US-2016345076-A1
US-10275876-B2,US-2016005106-A1
KR-102039658-B1,KR-101624236-B1
KR-20190108838-A,KR-20160083746-A
US-10365619-B2,US-2016070276-A1
US-10318722-B2,US-2016264011-A1
US-10162817-B2,US-2016283995-A1
US-10083583-B2,US-2016239796-A1
US-10101717-B2,US-9338054-B2
US-2016171581-A1,US-9424598-B1
US-2016117789-A1,US-2016117788-A1
US-2017085737-A1,US-2016140639-A1
US-2017200191-A1,US-2016350838-A1
US-2018015878-A1,US-2016162985-A1
US-2016021500-A1,US-2016171486-A1
US-2017109444-A1,US-2016125501-A1
US-2018159757-A1,US-2016104346-A1
US-2018227250-A1,US-2016034995-A1
US-2018115527-A1,US-2016036739-A1
US-2017132486-A1,US-9360945-B2
US-2017024928-A1,US-2016284017-A1
US-2016132953-A1,US-2016110774-A1
US-2016321635-A1,US-2016026987-A1
US-2016142544-A1,US-2016042419-A1
US-2016142544-A1,US-9275342-B2
US-2016357376-A1,US-2016110830-A1
US-2017034564-A1,US-9280783-B2
US-2017004182-A1,US-2016189315-A1
US-2018101348-A1,US-2016189193-A1
US-2016154673-A1,US-9508095-B2
US-2016171637-A1,US-2016034845-A1
US-2016171637-A1,US-2016358214-A1
US-2016292764-A1,US-2016048856-A1
US-2016048665-A1,US-2016065570-A1
US-2016086202-A1,US-2016026926-A1
US-2017148076-A1,US-2016026926-A1
US-2017372370-A1,US-2016086241-A1
US-2017334062-A1,US-2016217536-A1
US-2017372146-A1,US-9365188-B1
US-2017372146-A1,US-2016180428-A1
US-2017024025-A1,US-2016379205-A1
US-10322873-B2,WO-2016040601-A1
US-10032180-B1,US-2016314399-A1
US-10217302-B2,US-2016068264-A1
US-10217302-B2,WO-2016039882-A1
US-10304033-B2,US-2016328767-A1
US-10325248-B2,US-9229905-B1
US-10325248-B2,US-9346365-B1
US-10325248-B2,US-2016173568-A1
US-10346716-B2,US-9349076-B1
US-10361875-B2,US-9338242-B1
US-2016026819-A1,US-9454758-B2
US-2016334234-A1,US-9346365-B1
US-2017163591-A1,US-2016320195-A1
US-2018114330-A1,US-2016335667-A1
US-2017236454-A1,US-2016085884-A1
US-2017188816-A1,US-2016071225-A1
US-2018046972-A1,US-2016104225-A1
US-2018046972-A1,US-2016307246-A1
US-2018158014-A1,US-2016055572-A1
US-2016205159-A1,US-9325440-B2
US-2016173613-A1,US-9351193-B2
US-2016272333-A1,US-2016027307-A1
US-2016232451-A1,US-2016162125-A1
US-2018227543-A1,US-2016132949-A1
US-2018227543-A1,US-2016132928-A1
US-2016368752-A1,US-2016368753-A1
US-2016371723-A1,US-9430531-B2
US-2017092030-A1,US-9230440-B1
US-2017228744-A1,US-2016189099-A1
US-2016343052-A1,US-2016071178-A1
US-2016077675-A1,US-9253631-B1
US-2017011133-A1,US-9240023-B1
US-2017357696-A1,US-9436951-B1
US-2017146636-A1,US-2016180673-A1
US-2017228817-A1,US-2016055575-A1
US-2017228817-A1,US-2016328766-A1
US-2016364823-A1,US-2016321566-A1
US-2016320325-A1,US-2016338540-A1
US-2016028770-A1,US-9532161-B2
US-2017230795-A1,US-2016320195-A1
US-2017289344-A1,US-2016086029-A1
US-2018286096-A1,US-2016350730-A1
US-2017323398-A1,US-2016171574-A1
US-2017011340-A1,US-2016068264-A1
US-2017011340-A1,US-2016185466-A1
US-2017238505-A1,US-2016307449-A1
US-2017158071-A1,US-9346365-B1
US-2018032212-A1,US-2016283099-A1
US-2017161717-A1,US-9367841-B2
US-2017017353-A1,US-2016307249-A1
US-2017017353-A1,US-2016314519-A1
US-2018115595-A1,US-2016025506-A1
US-2017003933-A1,US-9245288-B1
US-2017127201-A1,US-2016350821-A1
US-2017206237-A1,US-2016357408-A1
US-2017193410-A1,US-2016275470-A1
US-2018143957-A1,US-2016307034-A1
US-10463257-B2,US-2016081435-A1
US-2016147878-A1,US-9355352-B1
US-2016253624-A1,US-2016063435-A1
US-2016269313-A1,US-2016147553-A1
US-2017186055-A1,US-2016140637-A1
US-2017144877-A1,US-2016203431-A1
US-2016034887-A1,US-2016063474-A1
US-2016034887-A1,US-2016189137-A1
US-2019057181-A1,US-2016299360-A1
US-2016216096-A1,US-9294634-B2
US-2016216096-A1,US-9336337-B2
US-2016216096-A1,US-9351594-B2
US-2016034786-A1,US-2016117749-A1
US-2017169622-A1,US-2016321771-A1
US-2017244734-A1,US-2016248795-A1
US-2018181832-A1,US-2016225053-A1
US-2017280816-A1,US-9357813-B2
US-2018060954-A1,US-2016071175-A1
US-2017316004-A1,US-2016253746-A1
US-2017366545-A1,US-2016232515-A1
US-2016080349-A1,US-2016034995-A1
US-10037458-B1,US-9230160-B1
US-10050697-B2,US-9443417-B2
US-10062118-B1,US-2016092959-A1
US-10298575-B2,US-2016217258-A1
US-10298575-B2,US-2016247148-A1
US-10298575-B2,US-2016260069-A1
US-10298575-B2,US-2016350856-A1
TW-I659373-B,CN-105488675-A
US-10181111-B1,US-9269103-B1
US-10181111-B1,US-2016071050-A1
US-10181111-B1,US-2016171591-A1
US-10268495-B2,US-2016055573-A1
US-10339516-B2,US-2016203453-A1
US-10387882-B2,US-9324098-B1
US-10387882-B2,US-9514452-B2
KR-101996802-B1,KR-20160091194-A
US-2016267513-A1,US-2016253656-A1
US-2017132560-A1,US-2016225045-A1
US-2017300945-A1,US-2016110659-A1
US-2017053339-A1,US-9430786-B2
US-2017137255-A1,US-2016304312-A1
US-2017293959-A1,US-2016055562-A1
US-2016063097-A1,US-9330357-B1
US-2016063464-A1,US-9471910-B2
US-2017039465-A1,US-9378601-B2
US-2017210116-A1,US-2016210312-A1
US-2017053326-A1,US-2016189277-A1
US-2017032303-A1,US-9426225-B2
US-2018024790-A1,US-9351193-B2
US-2018191888-A1,US-2016232627-A1
US-2017032313-A1,US-2016350706-A1
US-2016241541-A1,US-2016055469-A1
US-2016241541-A1,US-9430787-B2
US-2018084464-A1,US-2016286410-A1
US-2018173564-A1,US-2016321568-A1
US-2017287060-A1,US-2016042443-A1
US-2017287060-A1,US-2016063588-A1
US-2017287060-A1,US-2016189431-A1
US-2016331308-A1,US-2016107133-A1
US-2016275275-A1,US-2016379205-A1
US-10019531-B2,US-9361368-B1
US-10274949-B2,US-2016068264-A1
US-10362124-B2,US-2016148299-A1
KR-101877850-B1,KR-20160091194-A
US-10002376-B2,US-9529921-B2
US-10070669-B2,EP-3023947-A1
US-10070669-B2,US-2016260156-A1
US-10070669-B2,US-2016363917-A1
US-10146318-B2,US-9230160-B1
KR-20180002487-A,KR-20160071828-A
US-10326848-B2,US-2016210578-A1
US-10317102-B2,US-9311685-B2
US-2016292630-A1,US-2016189285-A1
US-2017270554-A1,US-2016171577-A1
US-2017309075-A1,US-2016180449-A1
US-2017309075-A1,US-9401023-B2
US-2018115506-A1,US-2016063608-A1
US-2017052988-A1,US-2016379289-A1
US-10183586-B1,US-2016198002-A1
US-10183586-B1,US-2016359980-A1
US-10182187-B2,US-9374517-B2
US-10204705-B2,US-2016335686-A1
US-10212548-B2,US-9527217-B1
US-10217311-B2,US-2016180632-A1
US-10277709-B2,US-9280789-B2
US-10299133-B2,US-2016109954-A1
US-10299205-B2,US-2016086391-A1
TW-I637340-B,TW-201621782-A
KR-20190063594-A,KR-20160131335-A
US-2017109803-A1,US-9424598-B1
US-2018203951-A1,US-2016071325-A1
US-2018293256-A1,US-2016232714-A1
US-2016171719-A1,US-2016027082-A1
US-10108986-B2,US-2016267554-A1
US-10191485-B2,US-2016068264-A1
US-10193881-B2,US-2016048298-A1
US-10193881-B2,US-2016379205-A1
US-10239740-B2,US-2016110701-A1
US-10239740-B2,US-2016210602-A1
US-10239740-B2,US-2016259339-A1
US-10239740-B2,US-2016259346-A1
US-10239740-B2,US-2016255969-A1
US-10239740-B2,US-2016258762-A1
US-10239740-B2,US-2016257240-A1
US-10239740-B2,US-2016260145-A1
US-10239740-B2,US-2016260142-A1
US-10239740-B2,US-2016259342-A1
US-10239740-B2,US-2016260159-A1
US-10239740-B2,US-2016260158-A1
US-10239740-B2,US-2016260054-A1
US-10239740-B2,US-2016260148-A1
US-10239740-B2,US-2016260049-A1
US-10239740-B2,US-2016259344-A1
US-10239740-B2,US-2016259343-A1
US-10239740-B2,US-2016259340-A1
US-10239740-B2,US-2016259345-A1
US-10239740-B2,US-2016261698-A1
US-10239740-B2,US-2016259329-A1
US-10239740-B2,US-2016258763-A1
US-10239740-B2,US-2016257212-A1
US-10239740-B2,US-2016259028-A1
US-10239740-B2,US-2016260161-A1
US-10239740-B2,US-2016259341-A1
US-10239740-B2,US-2016259331-A1
US-10239740-B2,US-2016300291-A1
US-10239740-B2,US-2016364786-A1
US-10239740-B2,US-2016364785-A1
US-10264080-B2,US-2016148299-A1
US-10282602-B1,US-2016210602-A1
KR-20180118868-A,KR-20160100644-A
TW-I670655-B,CN-105446992-A
KR-20180063574-A,KR-20160084866-A
KR-101886977-B1,KR-20160131374-A
US-10223714-B2,US-9372589-B2
US-10339583-B2,US-9317860-B2
US-10248856-B2,US-9269015-B2
US-2017030766-A1,US-2016109281-A1
US-2017030766-A1,US-9406058-B1
US-2016155187-A1,US-2016035016-A1
US-2017264699-A1,US-9338242-B1
US-2017278173-A1,US-9465873-B1
US-2017264480-A1,US-9471455-B2
US-2018276610-A1,US-2016171592-A1
US-2018007104-A1,US-2016070580-A1
US-2018288720-A1,US-2016239796-A1
US-2017028949-A1,US-2016167608-A1
US-2017052760-A1,US-9367869-B2
US-2018354525-A1,US-2016371788-A1
US-2019014208-A1,US-2016086218-A1
US-2017287257-A1,US-2016055599-A1
US-2018187954-A1,US-2016140526-A1
US-2017043998-A1,US-2016005097-A1
US-2017189814-A1,US-2016379184-A1
US-2017068977-A1,US-2016232540-A1
US-2018032803-A1,US-2016225053-A1
US-2017300345-A1,US-2016275582-A1
US-10319008-B1,US-9269103-B1
US-10169949-B2,US-2016307449-A1
US-10235864-B2,US-9454728-B1
US-10241988-B2,US-9349095-B1
US-10241827-B1,US-9351193-B2
US-10142312-B2,US-2016050203-A1
US-10217151-B1,US-2016019526-A1
US-2016155128-A1,US-2016125490-A1
US-2016070978-A1,US-2016028945-A1
US-2016196756-A1,US-2016185466-A1
US-2016260112-A1,US-2016048537-A1
US-10185997-B1,US-9282430-B1
US-10185997-B1,US-2016092962-A1
US-10185997-B1,US-9317983-B2
US-10185997-B1,US-9384491-B1
US-10346889-B1,US-9269103-B1
US-10346889-B1,US-2016071050-A1
US-10346889-B1,US-2016171591-A1
US-10007868-B2,US-2016314377-A1
US-10026118-B2,US-2016050203-A1
US-10116530-B2,US-2016026552-A1
US-10152778-B2,US-9449412-B1
US-10205338-B2,US-2016214535-A1
KR-101907624-B1,KR-101662014-B1
KR-101955504-B1,US-2016284033-A1
KR-20180116711-A,KR-20160006342-A
KR-20180116711-A,KR-20160037572-A
US-2017270285-A1,US-2016086236-A1
US-2016314624-A1,US-2016253843-A1
US-2017094479-A1,US-2016321566-A1
US-2017168994-A1,US-9299102-B1
US-2016374127-A1,US-2016103791-A1
US-2017050747-A1,US-2016068264-A1
US-2016189439-A1,US-9384491-B1
US-2017245207-A1,US-9351193-B2
US-2017124192-A1,US-2016171588-A1
US-2017124192-A1,US-2016379213-A1
US-2018049575-A1,US-9418350-B2
US-2018049575-A1,US-2016350702-A1
US-2017263031-A1,US-2016005106-A1
US-2018345921-A1,US-2016321771-A1
US-2018095609-A1,US-9378601-B2
US-2016134428-A1,US-2016125490-A1
US-2016034872-A1,US-9245291-B1
US-2018041040-A1,US-2016104138-A1
US-10264124-B2,US-2016035039-A1
US-10043205-B2,WO-2016003507-A1
US-10043205-B2,CN-105279672-A
US-10332067-B2,US-2016292632-A1
US-10332067-B2,US-2016314518-A1
US-10062208-B2,US-2016292966-A1
US-10075442-B2,US-2016189315-A1
US-2016012650-A1,US-2016039426-A1
US-2016012650-A1,US-2016086391-A1
US-2016247219-A1,US-2016117744-A1
US-2016134929-A1,US-2016080451-A1
US-2017262511-A1,US-2016110659-A1
US-2018307753-A1,US-2016048934-A1
US-2018010566-A1,US-9229905-B1
US-2017104957-A1,US-2016092962-A1
US-10102440-B2,US-9235941-B2
US-10102440-B2,US-9349140-B2
US-10237137-B2,US-9330388-B2
US-10022613-B2,US-2016364787-A1
US-10127647-B2,US-2016092849-A1
US-10127647-B2,US-2016098689-A1
US-10127647-B2,US-2016171575-A1
US-10127647-B2,US-2016210648-A1
US-10279212-B2,US-2016063615-A1
US-2016241544-A1,US-2016050203-A1
US-2016191619-A1,US-2016092854-A1
US-2016219266-A1,US-2016081435-A1
US-2017359604-A1,US-2016044385-A1
US-2017249060-A1,US-2016239904-A1
US-2017372529-A1,US-2016264011-A1
US-2018122167-A1,US-2016072915-A1
US-2016277483-A1,US-2016094720-A1
US-2017072312-A1,US-9460228-B2
US-2017072312-A1,US-2016342573-A1
US-2017075865-A1,US-9251372-B1
US-2017075865-A1,US-2016277421-A1
US-2017286997-A1,US-2016086029-A1
US-2016358144-A1,US-2016321649-A1
US-2016068265-A1,US-9359074-B2
US-10032197-B2,US-9230249-B1
US-10032197-B2,WO-2016057610-A1
US-10074042-B2,US-2016314377-A1
US-10185960-B2,WO-2016033468-A1
US-2017116842-A1,US-2016210602-A1
US-2017174277-A1,US-2016012194-A1
US-2017061708-A1,US-2016092962-A1
US-2016050259-A1,US-2016026997-A1
US-2016050259-A1,US-2016034876-A1
US-2016232240-A1,US-2016179962-A1
US-2016034784-A1,US-2016132733-A1
US-2017364984-A1,US-2016055568-A1
US-2017293286-A1,US-2016180562-A1
US-2017076267-A1,US-9230387-B2
US-2017076267-A1,US-9430788-B2
US-2016075293-A1,US-2016098670-A1
US-2016134717-A1,US-2016134684-A1
US-2017171509-A1,US-2016171478-A1
US-2017270512-A1,US-2016379201-A1
US-10033222-B1,US-2016005068-A1
US-10349269-B1,US-2016098770-A1
US-10181142-B2,US-2016232515-A1
US-10181142-B2,US-2016343057-A1
US-10241581-B2,US-9230160-B1
US-10310498-B2,US-2016307449-A1
US-10326696-B2,US-9342808-B2
US-10367818-B2,US-2016253732-A1
KR-102074782-B1,KR-101651645-B1
US-10264615-B1,US-2016035001-A1
US-2016286282-A1,US-9324064-B2
US-2016071180-A1,US-2016004891-A1
US-2016048126-A1,US-9489377-B1
US-2018121992-A1,US-2016063604-A1
US-2018121992-A1,US-2016232515-A1
US-2018121992-A1,US-2016247113-A1
US-2017169231-A1,US-2016155069-A1
US-2018075551-A1,US-2016171591-A1
US-2018075551-A1,US-2016244311-A1
US-2017176568-A1,US-2016110774-A1
US-2017228236-A1,US-2016041820-A1
US-2016314494-A1,US-9247314-B1
US-2017210376-A1,US-2016321848-A1
US-2016125389-A1,US-2016092864-A1
US-2017004562-A1,US-9449077-B2
US-2018144388-A1,US-9471903-B1
US-2018144388-A1,US-2016343177-A1
US-2018144388-A1,US-2016342456-A1
US-2017061561-A1,US-2016321771-A1
US-2017206209-A1,US-2016188723-A1
US-2017094100-A1,US-2016380852-A1
US-2016026428-A1,US-9246866-B1
KR-101884600-B1,KR-20160142032-A
US-10024678-B2,US-9269015-B2
US-10326817-B2,US-2016065417-A1
US-10332418-B2,US-2016239624-A1
KR-101867343-B1,KR-101654013-B1
KR-20180106471-A,KR-20160076473-A
KR-20180106471-A,KR-101689476-B1
US-2017200180-A1,US-2016189278-A1
US-2018093625-A1,US-9229905-B1
US-2018093625-A1,US-9365188-B1
US-2017220645-A1,US-2016171585-A1
US-2018244299-A1,US-2016163133-A1
US-2017168323-A1,US-2016062151-A1
US-2018271409-A1,US-2016027070-A1
US-2016283587-A1,US-2016110793-A1
US-2016246790-A1,US-2016035004-A1
US-2016277570-A1,US-2016155163-A1
US-10353534-B2,US-2016070580-A1
US-10469540-B2,US-9351193-B2
US-10585180-B2,US-9384609-B2
US-10417693-B2,US-2016110793-A1
US-10417344-B2,US-2016125071-A1
US-10417344-B2,US-2016284005-A1
US-10417344-B2,US-9502025-B2
US-10467213-B2,US-2016042050-A1
US-10303128-B2,US-2016285954-A1
US-10204265-B2,US-2016210602-A1
US-10248984-B2,US-9275409-B2
US-10319184-B2,US-2016104138-A1
US-10332111-B2,US-2016066140-A1
KR-20180065131-A,KR-20160083796-A
KR-20180065131-A,KR-101652082-B1
KR-20190011566-A,KR-20160099123-A
US-2016328700-A1,US-2016171486-A1
US-2017337921-A1,US-2016317074-A1
US-2016125499-A1,US-2016081435-A1
US-2016148288-A1,US-2016125321-A1
US-2016379252-A1,US-2016171588-A1
US-2017124464-A1,US-2016092557-A1
US-2017255940-A1,US-9466082-B1
US-2017255940-A1,US-2016379287-A1
KR-20180094395-A,KR-101690244-B1
US-10333784-B2,US-2016210578-A1
US-10269007-B2,US-9430787-B2
US-10127579-B2,US-2016179962-A1
US-10303895-B1,US-2016232546-A1
US-10049466-B2,US-9245350-B1
US-10049466-B2,US-2016104303-A1
US-10049466-B2,US-9524563-B2
US-10388411-B1,US-9443263-B1
US-10373259-B1,US-9282430-B1
US-10373259-B1,US-2016092962-A1
US-10373259-B1,US-9317983-B2
US-10373259-B1,US-9384491-B1
US-10069535-B2,US-9443417-B2
KR-20180087636-A,KR-20160093303-A
KR-101863945-B1,JP-5942173-B2
KR-20190086242-A,KR-20160124270-A
KR-102000385-B1,KR-101654013-B1
US-10006782-B2,US-2016086391-A1
US-10311476-B2,US-9374411-B1
US-10204471-B2,US-2016379176-A1
US-10097472-B2,US-9235856-B2
KR-101984283-B1,JP-2016218911-A
US-10210841-B1,US-9406042-B2
US-10282773-B2,US-2016081435-A1
US-10282773-B2,US-2016350833-A1
US-10079902-B2,US-2016210602-A1
US-10320662-B1,US-2016110721-A1
US-10222961-B2,US-2016210602-A1
US-10360290-B2,US-9246866-B1
US-10242358-B2,US-9448972-B2
US-10242358-B2,US-9530137-B2
US-2017163564-A1,US-2016275577-A1
US-2018234380-A1,US-2016247213-A1
US-2018107903-A1,US-2016099848-A1
US-2018167502-A1,US-2016129913-A1
US-2016285816-A1,US-9277022-B2
US-2016364725-A1,US-9373112-B1
US-2017034581-A1,US-2016345076-A1
US-2016205180-A1,US-2016034876-A1
US-2017064034-A1,US-2016171584-A1
US-2016036558-A1,US-2016086391-A1
US-2017330402-A1,US-2016140649-A1
US-2018075505-A1,US-9483786-B2
US-2018039968-A1,US-9384499-B2
US-2016335702-A1,US-2016148297-A1
US-2017155672-A1,US-9397884-B2
US-10055746-B1,US-9342287-B2
US-10200536-B2,US-2016371756-A1
US-10304273-B2,US-2016092954-A1
US-10327479-B2,US-2016363917-A1
US-10269157-B2,US-9310968-B2
KR-20180103658-A,KR-20160084151-A
US-10042851-B2,US-9477985-B2
US-10155500-B2,US-9317983-B2
US-10185513-B1,US-9443263-B1
US-10255380-B2,US-2016140254-A1
KR-20190076845-A,KR-20160015426-A
KR-101888010-B1,KR-101691187-B1
US-2016150388-A1,US-2016307172-A1
US-2018048929-A1,US-2016171486-A1
US-2016371344-A1,US-2016140637-A1
US-2016371344-A1,US-2016180435-A1
US-2017293915-A1,US-2016217536-A1
US-2018124129-A1,US-9390450-B1
US-2017196270-A1,US-2016363917-A1
US-2017293727-A1,US-2016012194-A1
